you;ty/vy
he;on
she;ona
it;ono
we;my
they;oni
my;můj/moje
your;tvoje/vaše
our;naše
be;být
have;mít
do;dělat
say;říkat
get;dostat
make;udělat/dělat/tvořit/vyrábět
go;jít
know;vědět
take;vzít
see;vidět
sea;moře
come;jít/přijít
think;myslet
look;dívat/dívat se/podívat se
want;chtít
give;dát/dávat
use;použít/používat
find;hledat/najít
tell;říct/říkat
ask;zeptat/zeptat se/ptát se
work;pracovat
feel;cítit/cítit se
try;zkusit/vyzkoušet
leave;odejít/opustit
call;zavolat/volat
person;osoba
man;muž/člověk
woman;žena
child;dítě
time;čas
year;rok
week;týden
day;den
way;cesta/způsob
thing;věc
world;svět
word;slovo
life;život
live;žít
hand;ruka
part;část
eye;oko
place;místo
work;práce
company;firma/společnost
number;číslo
group;skupina
probelm;problém
fact;fakt/skutečnost
good;dobrý
new;nový
first;první
last;poslední
long;dlouhý/dlouho
great;skvělý/skvěle/skvělé/dobrý
little;trochu/málo/malý
own;vlastnit/vlastní
other;jiný/ostatní
old;starý
young;mladý
right;pravý/správný/pravá/vpravo
big;velký
small;malý
large;velký/veliký/obrovský
next;další
early;brzký/včasný/brzy
important;důležitý
few;několik/pár/trochu/málo
public;veřejný/veřejnost
bad;špatný
same;stejný
in;v
after;po
about;o
with;s
their;jejich
her;její
his;jeho
our;naše
your;tvůj/váš/tvoje/vaše
